Volumetric Equivalent,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,H1,H2,H3,H4,H5
0.75,19.15,21.95,19.01,19.05,21.51,20.7,23.85,23.8,24.41,24.38,24.83,23.58,24.74,23.99,24.91,24.73,29.86,29.78,30.93,30.65,30.99,30.29,30.73,35.9,35.56,35.72,35.81,36.07,38.74,39.11,45.99,46.43,47.37,47.83,40.85,40.46,40.65,40.55,47.47,47.02,55.05,54.52,56.14
1,19.44,22.37,19.3,19.34,21.91,21.18,24.31,24.25,24.82,24.78,25.26,24.04,25.23,24.35,25.33,25.22,30.9,30.82,32.02,31.68,32.01,31.35,31.81,36.57,36.21,36.39,36.47,36.74,39.94,40.33,46.66,47.11,48.05,48.51,41.62,41.21,41.42,41.31,49.15,48.68,56.15,55.61,57.27
1.5,19.84,22.78,19.71,19.75,22.29,21.68,24.77,24.71,25.24,25.21,25.7,24.43,25.63,24.76,25.77,25.67,31.42,31.33,32.55,32.2,32.85,31.87,32.66,39.51,39.14,39.32,39.42,39.71,43.1,43.52,50.29,50.78,51.79,52.29,44.84,44.41,44.63,44.51,53.75,53.23,60.18,59.61,61.41
2,20.4,23.02,20.25,20.3,22.94,22.4,25.46,25.4,25.96,25.92,26.43,25.11,26.35,25.47,26.49,26.39,32.24,32.16,33.39,33.08,33.75,32.71,33.51,42.92,42.51,42.71,42.82,43.13,46.69,47.15,54.33,54.86,55.96,56.5,48.57,48.1,48.33,48.22,58.15,57.59,65.03,64.4,66.33
2.5,20.97,23.1,20.82,20.86,23.55,23.11,26.08,26.02,26.66,26.63,27.14,25.81,27.09,26.15,27.21,27.11,33.07,32.99,34.29,33.9,34.59,33.57,34.4,46.38,45.93,46.15,46.26,46.6,50.26,50.75,58.36,58.93,60.12,60.7,52.34,51.84,52.09,51.96,62.52,61.92,69.88,69.21,71.26
3,21.49,23.66,21.32,21.38,24.13,23.67,26.7,26.64,27.28,27.24,27.77,26.41,27.72,26.77,27.84,27.72,33.84,33.76,35.09,34.63,35.34,34.35,35.2,49.4,48.93,49.16,49.28,49.63,53.47,53.99,61.77,62.37,63.62,64.25,55.68,55.14,55.41,55.27,66.39,65.76,74.01,73.29,75.47
3.5,21.99,24.21,21.84,21.89,24.71,24.24,27.32,27.25,27.89,27.86,28.39,27.02,28.34,27.37,28.46,28.34,34.61,34.53,35.88,35.36,36.08,35.12,35.99,52.41,51.9,52.16,52.29,52.66,56.68,57.23,65.16,65.79,67.12,67.77,59,58.44,58.72,58.58,70.26,69.59,78.11,77.36,79.68
4,22.51,24.77,22.35,22.41,25.28,24.8,27.94,27.87,28.5,28.47,29,27.61,28.97,27.98,29.09,28.95,35.37,35.29,36.67,36.08,36.81,35.9,36.79,55.41,54.88,55.15,55.27,55.68,59.87,60.45,68.53,69.2,70.59,71.28,62.31,61.72,62.01,61.87,74.11,73.39,82.19,81.4,83.86
4.5,23.02,25.31,22.86,22.91,25.86,25.36,28.54,28.48,29.12,29.08,29.63,28.2,29.59,28.59,29.72,29.55,36.13,36.05,37.45,36.81,37.55,36.67,37.57,58.39,57.83,58.11,58.26,58.67,63.05,63.67,71.9,72.59,74.06,74.78,65.61,64.98,65.29,65.13,77.94,77.19,86.26,85.44,88.02
5,23.53,25.86,23.36,23.41,26.42,25.91,29.15,29.09,29.73,29.68,30.24,28.8,30.21,29.18,30.33,30.16,36.89,36.8,38.23,37.51,38.27,37.44,38.36,61.37,60.77,61.08,61.22,61.66,66.22,66.86,75.24,75.97,77.5,78.26,68.89,68.23,68.56,68.39,81.76,80.97,90.32,89.44,92.16
5.5,24.03,26.41,23.87,23.92,27,26.48,29.76,29.68,30.33,30.28,30.85,29.38,30.83,29.78,30.95,30.76,37.61,37.51,38.97,38.21,38.98,38.17,39.11,64.26,63.65,63.96,64.11,64.57,69.28,69.96,78.49,79.26,80.86,81.65,72.1,71.41,71.75,71.57,85.46,84.64,94.26,93.36,96.18
