Volumetric Equivalent,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,H1,H2,H3,H4,H5,J1,J2
0.75,9.14,9.26,9.13,9.22,9.84,10.18,10.73,10.71,11.1,11.04,11.11,11.12,11.18,10.91,11.27,11.1,12.58,12.52,13.06,12.63,12.98,12.59,12.61,12.62,12.38,12.44,12.5,12.57,13.27,13.39,14.9,15.05,15.34,15.49,14.33,14.2,14.23,14.2,15.32,15.17,17.29,17.12,17.24,13.78,16.17
1,9.59,9.83,9.59,9.67,10.18,10.76,11.01,10.99,11.32,11.28,11.47,11.48,11.67,11.11,11.52,11.41,13.7,13.65,14.22,13.68,13.96,13.72,13.73,13.74,13.54,13.61,13.68,13.74,14.11,14.24,17.15,17.31,17.67,17.84,15.2,15.06,15.09,15.06,16.3,16.15,19.23,19.04,19.07,15.24,16.91
1.5,10.17,10.45,10.17,10.26,10.64,11.46,11.63,11.62,12.05,12.01,12.22,12.23,12.52,11.82,12.26,12.17,14.5,14.45,15.07,14.4,14.76,14.52,14.54,14.55,14.35,14.41,14.48,14.55,15.33,15.48,17.75,17.91,18.29,18.47,16.45,16.3,16.34,16.3,17.72,17.54,21.03,20.84,20.9,16.52,19.4
2,10.28,10.83,10.27,10.38,10.82,11.68,12.14,12.12,12.54,12.5,12.71,12.72,12.97,12.33,12.76,12.61,15.12,15.06,15.71,15.12,15.48,15.14,15.2,15.26,15.12,15.19,15.26,15.33,16.09,16.24,18.56,18.74,19.12,19.31,17.33,17.16,17.21,17.16,18.67,18.49,22.06,21.86,22.44,19.24,22.6
2.5,10.51,11.24,10.5,10.6,11.39,12.13,12.6,12.58,12.99,12.94,13.16,13.17,13.5,12.76,13.2,13.06,15.91,15.84,16.45,15.72,16.09,15.9,15.93,15.96,15.81,15.89,15.96,16.04,16.6,16.76,19.62,19.81,20.21,20.4,17.84,17.68,17.72,17.67,19.44,19.26,23.14,22.92,23.53,22.02,25.88
3,10.89,11.64,10.89,11,11.78,12.53,13.05,13.02,13.43,13.38,13.6,13.61,13.99,13.2,13.66,13.5,16.47,16.41,17.04,16.28,16.66,16.47,16.5,16.53,16.37,16.46,16.53,16.61,17.22,17.37,20.28,20.47,20.88,21.08,18.63,18.45,18.49,18.45,20.25,20.06,24.09,23.85,24.52,26.6,28.39
3.5,11.28,12.04,11.28,11.39,12.16,12.92,13.49,13.48,13.88,13.83,14.06,14.07,14.47,13.64,14.12,13.95,17.03,16.97,17.63,16.84,17.24,17.03,17.07,17.1,16.95,17.02,17.1,17.19,17.82,17.99,20.93,21.13,21.53,21.74,19.41,19.22,19.27,19.22,21.06,20.85,25.03,24.79,25.49,28.73,30.9
4,11.68,12.44,11.67,11.77,12.56,13.33,13.94,13.92,14.33,14.27,14.5,14.53,14.95,14.08,14.56,14.39,17.58,17.52,18.22,17.4,17.8,17.59,17.63,17.67,17.51,17.59,17.67,17.76,18.42,18.6,21.58,21.78,22.2,22.41,20.19,19.99,20.04,19.99,21.86,21.65,25.98,25.73,26.47,30.87,33.39
4.5,12.06,12.83,12.06,12.16,12.93,13.72,14.37,14.36,14.77,14.72,14.96,15,15.43,14.51,15.01,14.82,18.14,18.07,18.8,17.96,18.37,18.15,18.2,18.24,18.07,18.15,18.24,18.33,19.03,19.2,22.23,22.44,22.86,23.07,20.96,20.75,20.8,20.75,22.66,22.44,26.91,26.65,27.43,32.99,35.89
5,12.44,13.22,12.44,12.55,13.32,14.11,14.81,14.79,15.21,15.15,15.4,15.47,15.92,14.95,15.45,15.26,18.69,18.62,19.38,18.51,18.94,18.7,18.76,18.81,18.62,18.71,18.81,18.89,19.62,19.81,22.88,23.09,23.51,23.74,21.72,21.51,21.57,21.51,23.46,23.23,27.85,27.58,28.4,35.1,38.38
5.5,12.82,13.61,12.83,12.94,13.7,14.49,15.24,15.22,15.64,15.58,15.83,15.91,16.37,15.38,15.89,15.69,19.21,19.15,19.95,19.05,19.48,19.25,19.31,19.36,19.18,19.28,19.36,19.45,20.2,20.39,23.5,23.72,24.16,24.38,22.44,22.23,22.29,22.23,24.24,24,28.73,28.45,29.32,37.13,43.13
6,13.2,14,13.2,13.33,14.08,14.87,15.67,15.64,16.06,16,16.25,16.35,16.82,15.79,16.32,16.11,19.74,19.67,20.51,19.58,20.03,19.78,19.85,19.92,19.73,19.83,19.92,20.02,20.77,20.97,24.11,24.34,24.79,25.03,23.16,22.95,23,22.95,25.02,24.77,29.62,29.34,30.23,39.15,45.6
6.5,13.59,14.39,13.58,13.71,14.45,15.25,16.09,16.06,16.49,16.42,16.69,16.79,17.28,16.21,16.75,16.53,20.27,20.2,21.08,20.12,20.58,20.31,20.4,20.48,20.29,20.38,20.48,20.58,21.34,21.54,24.73,24.97,25.42,25.67,23.89,23.66,23.71,23.66,25.79,25.54,30.49,30.2,31.15,41.16,48.08
7,13.96,14.78,13.96,14.09,14.82,15.63,16.51,16.48,16.9,16.84,17.11,17.23,17.72,16.62,17.18,16.96,20.8,20.72,21.64,20.65,21.12,20.84,20.94,21.03,20.84,20.93,21.03,21.14,21.91,22.12,25.34,25.59,26.06,26.31,24.6,24.36,24.42,24.36,26.56,26.3,31.38,31.07,32.05,43.17,50.54
7.5,14.34,15.17,14.34,14.46,15.2,16,16.93,16.9,17.32,17.26,17.53,17.65,18.17,17.04,17.6,17.37,21.32,21.24,22.2,21.17,21.66,21.37,21.48,21.59,21.38,21.48,21.59,21.69,22.47,22.69,25.96,26.21,26.69,26.94,25.31,25.07,25.13,25.06,27.33,27.07,32.24,31.94,32.96,45.17,53
8,14.71,15.55,14.71,14.84,15.57,16.36,17.34,17.32,17.74,17.67,17.95,18.09,18.61,17.45,18.03,17.79,21.83,21.75,22.76,21.7,22.19,21.89,22.02,22.14,21.92,22.03,22.14,22.24,23.03,23.26,26.56,26.82,27.32,27.58,26.02,25.77,25.83,25.77,28.1,27.82,33.11,32.79,33.85,47.16,55.45
8.5,15.08,15.92,15.08,15.22,15.95,16.74,17.76,17.73,18.16,18.09,18.38,18.52,19.06,17.86,18.44,18.19,22.35,22.27,23.31,22.22,22.73,22.42,22.55,22.68,22.46,22.57,22.68,22.79,23.59,23.82,27.16,27.43,27.94,28.21,26.72,26.46,26.53,26.47,28.86,28.58,33.98,33.64,34.75,49.15,57.89
9,15.45,16.3,15.45,15.6,16.31,17.1,18.18,18.15,18.58,18.5,18.79,18.95,19.49,18.27,18.87,18.61,22.86,22.78,23.86,22.75,23.27,22.94,23.22,23.22,23,23.12,23.22,23.33,24.16,24.38,27.77,28.04,28.57,28.84,27.42,27.16,27.22,27.16,29.62,29.33,34.83,34.5,35.64,51.13,60.32
9.5,15.82,16.68,15.82,15.97,16.68,17.48,18.58,18.56,18.98,18.91,19.21,19.38,19.94,18.67,19.28,19.02,23.37,23.29,24.41,23.27,23.79,23.46,23.75,23.77,23.54,23.66,23.77,23.87,24.71,24.95,28.37,28.64,29.18,29.46,28.12,27.85,27.91,27.85,30.37,30.08,35.69,35.35,36.52,53.11,62.75
10,16.19,17.06,16.19,16.33,17.04,17.84,18.99,18.97,19.39,19.32,19.62,19.8,20.37,19.08,19.7,19.43,23.87,23.8,24.96,23.78,24.32,23.97,24.27,24.3,24.07,24.19,24.3,24.42,25.26,25.51,28.96,29.24,29.79,30.09,28.81,28.54,28.6,28.54,31.12,30.81,36.55,36.19,37.41,55.08,65.17
