Volumetric Equivalent,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,H1,H2,H3,H4,H5,J1,J2
0.75,10.03,10.61,10.03,10.12,10.39,10.86,11,10.98,11.37,11.34,11.38,11.42,11.52,11.27,11.69,11.38,13.36,13.32,14.02,13.37,13.74,13.43,13.61,13.98,13.83,13.91,13.98,14.04,15.97,16.13,18.91,19.1,19.24,19.43,16,15.85,15.89,15.85,17.89,17.72,21.71,21.51,21.64,16.72,19.68
1,11.64,12.53,11.64,11.75,11.86,13.14,13.31,13.29,13.88,13.83,14.07,14.36,14.49,13.76,14.25,13.85,17.45,17.38,18.34,18.32,18.6,17.52,17.74,19.1,18.91,19,19.1,19.19,22.29,22.51,27.46,27.74,28.58,28.86,21.16,20.95,21,20.95,24.87,24.63,31.3,30.99,31.62,18.6,20.03
1.5,12.33,13.34,12.33,12.45,13.85,13.97,14.01,13.99,14.32,14.26,14.52,14.83,15.42,14.04,14.72,14.46,18.25,18.17,19.24,19.21,19.72,18.32,18.74,22.54,22.32,22.43,22.54,22.65,26.41,26.67,34.3,34.63,35.68,36.03,27.69,27.42,27.49,27.42,30.95,30.64,38.27,37.9,38.66,20.6,23.26
2,12.83,13.45,12.83,12.94,14.47,14.67,14.71,14.68,14.97,14.92,15.04,15.15,15.73,14.7,15.38,15.09,19.04,18.95,19.98,19.96,20.43,19.11,19.55,27,26.74,26.87,27,27.13,30.43,30.73,37.5,37.88,39.02,39.41,31.07,30.76,30.85,30.77,36.92,36.56,45.94,45.49,45.55,23.99,27
2.5,13.32,13.55,13.31,13.43,14.71,14.99,15.03,15.01,15.45,15.39,15.65,15.99,16.62,15.17,15.86,15.55,19.53,19.44,20.8,20.77,21.3,19.59,20.04,29.51,29.23,29.38,29.51,29.66,32.08,32.39,41.82,42.24,43.51,43.93,36.17,35.81,35.9,35.82,40.15,39.75,50.32,49.82,49.96,27.44,30.81
3,13.74,14,13.74,13.87,15.16,15.47,15.51,15.48,15.93,15.87,16.15,16.5,17.14,15.64,16.36,16.05,20.14,20.05,21.46,21.44,21.98,20.2,20.66,31.01,30.71,30.86,31.01,31.16,33.75,34.08,43.73,44.16,45.51,45.96,38.87,38.49,38.58,38.49,43.21,42.78,53.94,53.41,53.64,32.92,33.86
3.5,14.17,14.44,14.17,14.31,15.6,15.95,15.99,15.96,16.41,16.35,16.63,17,17.66,16.1,16.86,16.55,20.74,20.66,22.12,22.1,22.66,20.82,21.29,32.49,32.18,32.33,32.49,32.64,35.41,35.77,45.64,46.09,47.52,47.99,41.55,41.14,41.25,41.15,46.26,45.8,57.56,56.99,57.31,35.92,36.91
4,14.59,14.88,14.59,14.73,16.05,16.42,16.46,16.43,16.89,16.83,17.13,17.49,18.17,16.57,17.35,17.04,21.35,21.25,22.77,22.75,23.33,21.42,21.91,33.97,33.63,33.8,33.97,34.13,37.07,37.43,47.53,48,49.52,50.01,44.23,43.8,43.9,43.8,49.29,48.8,61.15,60.56,60.97,38.93,39.93
4.5,15.02,15.33,15.02,15.16,16.5,16.88,16.93,16.9,17.36,17.3,17.62,17.99,18.69,17.04,17.84,17.53,21.95,21.86,23.43,23.41,24,22.02,22.53,35.43,35.09,35.27,35.43,35.61,38.72,39.09,49.42,49.91,51.51,52.02,46.89,46.43,46.55,46.44,52.32,51.8,64.74,64.1,64.61,41.93,42.97
5,15.44,15.77,15.44,15.59,16.94,17.35,17.4,17.36,17.84,17.77,18.09,18.48,19.2,17.5,18.34,18.02,22.55,22.45,24.08,24.06,24.66,22.63,23.15,36.9,36.55,36.72,36.9,37.08,40.35,40.75,51.3,51.81,53.48,54.01,49.55,49.07,49.18,49.07,55.32,54.77,68.31,67.63,68.23,44.27,46.12
